fullId,category,wnsynset,wnlemmas,up,front,unit,aligned.dims,isContainerLike,surfaceVolume,solidVolume,supportSurfaceArea,weight,staticFrictionForce,name,tags
wss.1004f30be305f33d28a1548e344f0e2e,WallArt,n3496279,"hanging,wall hanging","0\,0\,1","0\,-1\,0",0.015031645922063155,"111.97104\,84.16881\,0.0",true,0.008226,0.008226,0.009795,9.966830091589442,228.1449920977114,globe blue spruce,*
wss.100f39dce7690f59efb94709f30ce0d2,"Chair,Recliner",n4069540,"recliner,reclining chair,lounger","0\,0\,1","0\,-1\,0",0.012947172227877498,"111.34567\,100.547745\,96.13275",false,0.050328,0.527234,0.997641,59.6130895104624,593.4774694190751,couch,carpet recliner
wss.101354f9d8dede686f7b08d9de913afe,"Speaker,_Attributes",n3696785,"loudspeaker,speaker,speaker unit,loudspeaker system,speaker system",,,0.013619756018661576,"43.43313\,60.591843\,32.17259",false,0.005768,0.082294,0.138125,,,sound speaker,"audio,audio speaker,music,sound,sound speaker,speaker"
wss.102273fdf8d1b90041fbc1e2da054acb,"Lamp,DeskLamp",n4387620,table lamp,"0\,0\,1","1\,0\,0",0.001791299820325371,"18.514877\,71.531975\,48.62335",true,0.001424,0.00213,0.026234,3.0611285928598395,30.315880714764795,anglepoise lamp,"anglepoise,bulb,desk clamp,floor standing,lamp,light,table base,vr build"
wss.1022fe7dd03f6a4d4d5ad9f13ac9f4e7,"Chair,OfficeChair",n4380791,swivel chair,"0\,0\,1","0\,1\,0",0.017984304673039908,"60.366123\,98.00925\,66.79712",false,0.014595,0.04759,0.007446,17.287653819051002,172.1070510684192,office chair,"fauteuil de bureau,office chair"
wss.1028b32dc1873c2afe26a3ac360dbd4,"Chair,OfficeSideChair,rankChairs",n3005231,chair,"0\,0\,1","0\,-1\,0",0.0361153361552668,"78.41001\,117.685616\,77.54468",false,0.019132,0.049732,0.013525,22.6616918716056,225.60822891682056,visavis stackable chair,chair office designer citterio
wss.102a6b7809f4e51813842bc8ef6fe18,"Computer,Desktop",n3184677,desktop computer,,,0.025252379617478636,"23.257397\,46.2361\,60.778683",false,0.004545,0.058527,0.126284,,,alienware area    computer case  pc,*
wss.1033ee86cc8bac4390962e4fb7072b86,"Chair,rankChairs",n2741540,armchair,"0\,0\,1","-1\,0\,0",0.024691261772050645,"66.430275\,98.00357\,109.57538",false,0.018864,0.032783,0.031439,22.3442481426912,222.4479212987091,the armchair cit eacute,"armchair,chair,chaise,french,furniture,nancy,prouve,tterrible,vitra"
wss.104221f8a5b6676aa1dda33d5a7c8c38,"Table,AccentTable,RoundTable",n3067971,"coffee table,cocktail table","0\,0\,1","0.7071067690849304\,-0.7071067690849304\,0",0.035441114891971603,"61.418324\,99.757866\,61.683174",false,0.007341,0.011108,0.0427,6.158520830034181,73.19097744560956,eileen gray coffee table,"bauhaus,chair,chairs,chaise lounge,darrell smith,end table,furniture,modern,sofa,table,texture,textures"
wss.1049af17ad48aaeb6d41c42f7ade8c8,"_StanfordSceneDBModels,_SceneGalleryModels,PictureFrame,_OIMwhitelist",n3938003,picture frame,"0\,0\,1","-1\,0\,0",0.038713560774630444,"22.720854\,24.441763\,11.376484",false,2.42E-4,5.35E-4,0.006064,,,digital picture frame,"android,digital,display,eight,frame,high,inch,mountain,photo,picture,resolution,screen,touch"
wss.10507ae95f984daccd8f3fe9ca2145e1,Couch,n4263630,"sofa,couch,lounge","0\,0\,1","1\,0\,0",0.026491137001994843,"207.3289\,91.36555\,96.69265",false,0.133604,0.562832,0.034632,211.6490657444408,2009.5955861158245,modern futon,"couch,furniture,futon,modern"
wss.1061c1b4af7fd99777f4e9e0a7e4c2,Candle,n2951508,"candle,taper,wax light",,,4.5496646660302456E-4,"25.530308\,42.36807\,19.044258",false,4.8E-4,9.32E-4,0.012194,0.432,0.42336,candle,candle
wss.1074bdcb3c2032fe0f3f8b6e1796773,"ChestOfDrawers,Dresser",n3018908,"chest of drawers,chest,bureau,dresser",,,0.029192961382027257,"176.43524\,84.659584\,58.38592",true,0.123211,0.873711,0.851955,73.92660000000001,449.1780216000001,scandanavian dresser,"dresser,scandanavian"
wss.107637b6bdf8129d4904d89e9169817b,Couch,n3698800,"love seat,loveseat,tete-a-tete,vis-a-vis",,,0.022625356231784688,"201.62453\,98.47731\,101.64667",false,0.214795,1.214746,0.008436,340.2679641071911,3230.8245555503468,ikea   kramfors loveseat,"architecture,bench,chair,chaise,chesterfield,couch,design,furniture,ikea,interior,kramfors,love,loveseat,seat,seating"
wss.1077080c3c8c6c71bf4af39142c10db1,Desk,n3184367,desk,,,0.022641755093728174,"135.85051\,65.66109\,63.39691",false,0.040947,0.097555,0.005182,24.568199999999997,149.2763832,herman miller reg  eames reg  desk  left hand drawer from smart furniture,"designer furniture,desk,eames,herman miller,modern furniture,office furniture,smart furiture"
wss.108ad3a805249f426ef4e1604526a95,Helicopter,n3517291,"helicopter,chopper,whirlybird,eggbeater","0\,0\,1","0\,1\,0",0.008640794017748742,"492.0639\,120.155945\,560.27423",true,1.514907,3.458439,0.287391,,,blue dragon helicopter  greenbrier high school,
wss.109d55a137c042f5760315ac3bf2c13e,"Bottle,_StanfordSceneDBModels,WineBottle",n4599016,wine bottle,,,0.03086336592273835,"9.25901\,34.646904\,9.25901",true,1.99E-4,0.001539,0.006169,0.44932227416480003,7.1099891288796115,wine bottle,"bottle,decorative,glass,pretty,wine"
wss.109db03133db57937ff6ace05b36a5,"ChestOfDrawers,Dresser,_AttributesTrain",n3018908,"chest of drawers,chest,bureau,dresser",,,0.032694732123943485,"147.12622\,98.0842\,102.17102",true,0.194951,1.260064,1.020741,116.9706,710.7133656000001,dresser mirage dark frame designed  by john a weick ra  amp  ap leed,"dining tables,end tables,hawaii,honolulu,is part of john weick functional sculptures and is part of the mirage floating furniture sereis that includes coffee tables,sizes,writing tables"
wss.10a200395145c61aea2f5d52559debc,"StandingClock,Clock",n3457538,"grandfather clock,longcase clock","0\,0\,1","0\,1\,0",0.0047077617174213614,"20.277977\,70.851814\,14.157887",false,0.002801,0.01005,0.022214,,,gold inlaid grandfather clock,"clock,gold,grandfather,horloge,inlaid,living room,mantle,object,or,ornamentation,peice,temps,time,wood"
wss.10adc13570a8b6e3bcceec49967c0de7,Bench,n2832068,bench,,,0.019678599742992537,"141.68591\,33.45362\,22.040031",false,0.018391,0.023274,0.028916,11.034600000000001,67.04622960000002,shoe bench,shoes furniture wood homemade
wss.10b20f680011a4d7683d931288a9d25a,TV,n4413042,"television receiver,television,television set,tv,tv set,idiot box,boob tube,telly,goggle box","0\,0\,1","0\,-1\,0",0.011928352664187212,"88.57038\,65.18331\,8.312272",false,0.008764,0.013522,0.072251,21.73769084596032,147.15272332683375,television,*
